date_summary,opening,closing,lowest,highest,volume,quantity,amount,avg_price
2013-10-30,488.98999000,480.00000000,470.00000000,488.98999000,7437.10892216,15.42008436,56,482.30014496
2013-10-31,479.98000000,485.89999000,465.00000000,488.99000000,27034.06422782,55.96106250,77,483.08704338
2013-11-01,465.00010000,488.99000000,465.00010000,488.99000000,17849.98543336,36.62164275,71,487.41629520
2013-11-02,488.99000000,477.00000000,471.00020000,488.99000000,4982.40526152,10.29300216,28,484.05753532
2013-11-03,485.00000000,507.85000000,471.50030000,513.21000000,21875.92418424,43.79100610,42,499.55290212
2013-11-04,507.85000000,590.00000000,485.00000000,648.90000000,53864.90708787,93.98898763,155,573.09806655
2013-11-05,629.99999000,641.00000000,557.00000000,644.10000000,60030.41832910,95.82802997,176,626.43903196
2013-11-06,620.00000000,696.21000000,620.00000000,696.21000000,61915.70875774,92.49032636,172,669.42902241
2013-11-07,696.21000000,777.68888000,671.00000000,797.15000000,110706.59004248,149.11276068,210,742.43538601
2013-11-08,752.73790000,929.70000000,752.72000000,929.97990000,146765.71791379,173.31774259,270,846.80146256
2013-11-09,925.00000000,868.00000000,800.00000000,989.43990000,80658.15196990,88.35742272,220,912.86220768
2013-11-10,800.00011000,850.00000000,703.00010000,898.99890000,26343.92211450,31.65592504,74,832.19561839
2013-11-11,874.99990000,936.98999000,850.05000000,943.00000000,51578.40962662,56.86687003,155,907.00278737
2013-11-12,936.00000000,910.00010000,902.00002000,987.99000000,86082.57398189,90.72102709,198,948.87124565
2013-11-13,973.98000000,1099.00000000,965.00000000,1175.00000000,155824.63216238,148.82904393,284,1047.00418713
2013-11-14,1099.00000000,1139.96000000,1016.00000000,1173.99998000,97672.66950597,85.73945458,206,1139.17997231
2013-11-15,1139.96000000,1015.00000000,990.00000000,1169.99000000,64834.46101385,58.63471415,141,1105.73509146
2013-11-16,1143.99900000,1120.00000000,1080.00000000,1147.50000000,7344.99522291,6.43995580,37,1140.53503642
2013-11-17,1125.00000000,1274.00000000,1125.00000000,1274.99000000,59066.88316099,48.35235288,147,1221.59273836
2013-11-18,1274.00000000,1800.00000000,1211.00000000,2200.00000000,484268.20020227,290.17088543,719,1668.90692525
